trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-117.73125130811005,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-114.35823397258402,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-57.95560440002653,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-124.49074309370299,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-32.79150305599591,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,1,-110.37287427436941,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-35.55365357344427,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-156.83424302895958,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,0,-62.26756591744367,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-60.955983458249726,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-120.09559168438119,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-205.1731537427889,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-192.6388428293172,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,9,-36.93409356109353,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-45.04872681101445,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-72.20072103689121,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-122.34317118038821,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-36.05072301429712,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",30,0,-155.81238038793555,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-110.7752046859967,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,-108.51601680445413,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-99.13637997218984,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-103.11923363814405,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-70.87335531993045,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-168.3878814353767,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-123.65256128759876,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",30,0,-123.09960938606667,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-94.83585404383051,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-190.98122021189351,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,2,-80.61290144657856,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,8.82236854925683,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-161.5126443986821,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",30,0,-55.998598188875846,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
