trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.36173349245232,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.55105336493737,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.67494456927957,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.18709522961797,"{0: 16, 1: 1, 2: 8, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.36574548461319,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.69988898934226,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,8,-38.13369789462705,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.81007636333987,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.381064784018356,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.696779164523,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.03220180938285,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,7,-51.98894345973005,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-224.93263142270595,"{0: 18, 1: 4, 2: 10, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.18350435215916,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.11558307586601,"{0: 12, 1: 2, 2: 2, 3: 4, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.52125778945417,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-143.61141556850393,"{0: 22, 1: 2, 2: 6, 3: 5, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.42853940317033,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.77928261208329,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.98496288092123,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-140.58227320429694,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,7,-38.704817056253916,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-98.12848891554864,"{0: 23, 1: 5, 2: 5, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.51410400856733,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,4,-16.19202179524973,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-86.93116943970317,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.53255262824854,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.14285702464002,"{0: 10, 1: 2, 2: 11, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,11,5.271849199279546,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.86263291575472,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
