trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.6400295539246,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,4,-13.12994582119734,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-282.0044674162593,"{0: 13, 1: 6, 2: 3, 3: 4, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,18,-20.15795643184931,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.60401691808754,"{0: 18, 1: 1, 2: 11, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.2409510379238,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.96460123573813,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.31332026477244,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.66156497756742,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.89547234342683,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,3,-123.13198670054899,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.95403602846966,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.49990119101696,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.79810100058752,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.72751919754685,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.70279902857013,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.10287290784942,"{0: 13, 1: 0, 2: 7, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.9227231269569,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.66571161427392,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.43057206464266,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.33940009490541,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.9486907857213,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.94643465237863,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.3490499296285,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.12427688660645,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-239.960009996451,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,7,-11.634281712892802,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.78570998654408,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.82585849960833,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,13,-118.53790183618506,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 2}",1
